Metric,Mean,Std,Min,Max
Accuracy,0.9714383099999999,0.002858997916184533,0.95886,0.972867
Precision,0.9997054899999998,7.851519829713507e-06,0.999666,0.999727
Recall,0.96596071,0.003434067145161073,0.950879,0.96768
F1,0.9825403700000003,0.0017873620009173396,0.974662,0.983431
