Accuracy,Precision,Recall,F1-Score
0.8296348258536224,0.8106604482710131,0.8296348258536224,0.8074813892894063

,Attack,DoS,Non-Attack
Attack,89891,1180,16006
DoS,11101,774,389
Non-Attack,1188,8,54804
