Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
UDP,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
Syn,0.99559,0.996248,0.996248,0.996248,372,2,2,531
UDPLag,0.988929,0.999545,0.984983,0.99221,3538,4,134,8789
NetBIOS,0.995056,0.991625,0.989967,0.990795,1622,5,6,592
