Metric,Mean,Std,Min,Max
Accuracy,0.98185416,2.3386087550578422e-06,0.981852,0.981858
Precision,0.9993750000000001,1.1158161231197418e-16,0.999375,0.999375
Recall,0.9788058799999999,3.1181450067063482e-06,0.978803,0.978811
F1,0.9889834399999999,1.5590725033467286e-06,0.988982,0.988986
