Metric,Mean,Std,Min,Max
Accuracy,0.9897766200000002,0.004407811091893367,0.978073,0.996078
Precision,0.99929408,0.0004909831958283904,0.997342,0.999806
Recall,0.98841239,0.005256729668335588,0.974741,0.995914
F1,0.9938164500000001,0.002683748126701868,0.986664,0.997639
