Attack/File,Train Rows,Test Rows,Train Attack %,Test Attack %,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
MSSQL,10974,8083,76.54,76.85,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
UDP,17770,12462,84.06,83.61,0.999358,1.0,0.999232,0.999616,2042,0,8,10412
LDAP,6715,2831,31.72,50.87,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
NetBIOS,1631,2225,24.4,26.88,0.996404,0.996633,0.989967,0.993289,1625,2,6,592
UDPLag,12639,12465,70.35,71.58,0.459126,1.0,0.244425,0.392831,3542,0,6742,2181
Syn,70336,907,61.56,58.77,0.410143,0.0,0.0,0.0,372,2,533,0
