Attack/File,Train Rows,Test Rows,Train Attack %,Test Attack %,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
UDP,17770,12462,84.06,83.61,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
MSSQL,10974,8083,76.54,76.85,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
Syn,70336,907,61.56,58.77,0.998897,0.998127,1.0,0.999063,373,1,0,533
LDAP,6715,2831,31.72,50.87,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
UDPLag,12639,12465,70.35,71.58,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
NetBIOS,1631,2225,24.4,26.88,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
