Metric,Mean,Std,Min,Max
Accuracy,0.9819140000000001,1.1158161231197418e-16,0.981914,0.981914
Precision,0.9993909999999999,1.1158161231197418e-16,0.999391,0.999391
Recall,0.9788620000000001,1.1158161231197418e-16,0.978862,0.978862
F1,0.9890199999999999,1.1158161231197418e-16,0.98902,0.98902
