Attack/File,Train Rows,Test Rows,Train Attack %,Test Attack %,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
MSSQL,10974,8083,76.54,76.85,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
UDP,17770,12462,84.06,83.61,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
Syn,70336,907,61.56,58.77,0.998897,0.998127,1.0,0.999063,373,1,0,533
LDAP,6715,2831,31.72,50.87,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
UDPLag,12639,12465,70.35,71.58,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
NetBIOS,1631,2225,24.4,26.88,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
